Name,Subtitle,Color,Price,Sale Price,Link
Nike SB,Camo Skate Hoodie,2 Colors,$65,,https://www.nike.com/t/sb-camo-skate-hoodie-73fGKt/CV4320-320
Nike SB,Camo Skate Cargo Pants,2 Colors,$90,,https://www.nike.com/t/sb-camo-skate-cargo-pants-7pG070/DN4989-320
Nike SB,Skate Flannel,3 Colors,$65,,https://www.nike.com/t/sb-skate-flannel-fG5VFl/DA4250-010
Nike SB,Skate Cargo Pants,3 Colors,$75,,https://www.nike.com/t/sb-skate-cargo-pants-z6gSmZ/CV4699-410
Jordan Essentials,Men's Statement Fleece Hoodie,5 Colors,$90,,https://www.nike.com/t/jordan-essentials-mens-statement-fleece-hoodie-cckr7N/DA9816-256
Jordan Essentials,Men's Statement Fleece Pants,3 Colors,$90,,https://www.nike.com/t/jordan-essentials-mens-statement-fleece-pants-92lNjM/DA9812-256
Nike ACG Therma-FIT,Fleece Pullover Hoodie,2 Colors,$110,,https://www.nike.com/t/acg-therma-fit-fleece-pullover-hoodie-xblNtM/DH3087-455
"Nike ACG ""Smith Summit""",Men's Cargo Pants,6 Colors,$180,,https://www.nike.com/t/acg-smith-summit-mens-cargo-pants-fgpGj8/CV0655-004
Nike ACG Therma-FIT,Fleece Allover Print Pullover Hoodie,1 Color,$110,,https://www.nike.com/t/acg-therma-fit-fleece-allover-print-pullover-hoodie-MWRzc9/DJ1425-072
"Nike ACG Therma-FIT ""Wolf Tree""",Men's Allover Print Pants,1 Color,$110,,https://www.nike.com/t/acg-therma-fit-wolf-tree-mens-allover-print-pants-wT95h1/DN1299-437
Nike Pro Dri-FIT,Men's Slim Fit Long-Sleeve Top,4 Colors,$35,,https://www.nike.com/t/pro-dri-fit-mens-slim-fit-long-sleeve-top-9rR6dS/DD1980-480
Nike Pro Dri-FIT,Men's 3/4 Tights,6 Colors,$32,,https://www.nike.com/t/pro-dri-fit-mens-3-4-tights-btNG9H/DD1919-480
Nike Pro Dri-FIT,Men's Tight Fit Short-Sleeve Top,3 Colors,$28,,https://www.nike.com/t/pro-dri-fit-mens-tight-fit-short-sleeve-top-CJMnlQ/DD1992-100
Nike Pro Dri-FIT,Men's Tights,5 Colors,$35,,https://www.nike.com/t/pro-dri-fit-mens-tights-D7wPGV/DD1913-100
Nike Dri-FIT Run Division Rise 365,Men's Long-Sleeve Running Top,5 Colors,$60,,https://www.nike.com/t/dri-fit-run-division-rise-365-mens-long-sleeve-running-top-FQVpJF/DD6021-372
Nike Dri-FIT Run Division Flex Stride,"Men's 5"" Brief-Lined Running Shorts",3 Colors,$55,,https://www.nike.com/t/dri-fit-run-division-flex-stride-mens-5-brief-lined-running-shorts-z6nkC7/DD6049-372
Nike Sportswear Tech Fleece,Men's Full-Zip Hoodie,8 Colors,$130,,https://www.nike.com/t/sportswear-tech-fleece-mens-full-zip-hoodie-5ZtTtk/CU4489-063
Nike Sportswear Tech Fleece,Men's Joggers,13 Colors,$110,,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-4x29ft/CU4495-063
Nike Sportswear Tech Fleece,Men's Crew Sweatshirt,5 Colors,$100,,https://www.nike.com/t/sportswear-tech-fleece-mens-crew-sweatshirt-pfjm2W/CU4505-010
Nike Sportswear Tech Fleece,Men's Shorts,10 Colors,$75,,https://www.nike.com/t/sportswear-tech-fleece-mens-shorts-8sXggV/CU4503-010
Nike Pro Therma-FIT,Men's Full-Zip Fleece Jacket,4 Colors,$195,,https://www.nike.com/t/pro-therma-fit-mens-full-zip-fleece-jacket-HghkRP/DD1878-010
Nike Pro Therma-FIT,Men's Fleece Pants,2 Colors,$120,,https://www.nike.com/t/pro-therma-fit-mens-fleece-pants-VHnQXM/DD1880-010
Nike Standard Issue,Men's Basketball Pullover Hoodie,8 Colors,$80,,https://www.nike.com/t/standard-issue-mens-basketball-pullover-hoodie-tmtS0f/CV0864-419
Nike Dri-FIT Standard Issue,Men's Basketball Pants,5 Colors,$75,,https://www.nike.com/t/dri-fit-standard-issue-mens-basketball-pants-lF6lnX/CK6365-419
